ExampleOrder-Daily4Sim,1983-03-30 00:00:00.000,29.25,29.56,29.01,29.4,0,3499133263052876
ExampleReversal-Daily4Sim,1983-03-30 00:00:00.000,29.25,29.56,29.01,29.4,0,3499133263059776
ExampleOrder-FullTick,1983-03-30 00:00:00.000,29.25,29.56,29.01,29.4,0,3499133263071395
Portfolio,1983-03-30 00:00:00.000,100,100,100,100,0,3499133263073467
ExampleOrder-Daily4Sim,1983-03-31 00:00:00.000,29.4,29.6,29.25,29.27,0,3499133263163344
ExampleReversal-Daily4Sim,1983-03-31 00:00:00.000,29.4,29.6,29.25,29.27,0,3499133263165091
AutoGen-Portfolio-Daily4Sim,1983-03-31 00:00:00.000,29.4,29.6,29.25,29.27,0,3499133263166361
ExampleOrder-FullTick,1983-03-31 00:00:00.000,29.4,29.6,29.25,29.27,0,3499133263174556
Portfolio,1983-03-31 00:00:00.000,100,100,100,100,0,3499133263175895
Portfolio,1983-04-01 00:00:00.000,100,100,100,100,0,3499133263177500
ExampleOrder-Daily4Sim,1983-04-04 00:00:00.000,29.3,29.7,29.29,29.44,0,3499133263181204
ExampleReversal-Daily4Sim,1983-04-04 00:00:00.000,29.3,29.7,29.29,29.44,0,3499133263182883
AutoGen-Portfolio-Daily4Sim,1983-04-04 00:00:00.000,29.3,29.7,29.29,29.44,0,3499133263184143
ExampleOrder-FullTick,1983-04-04 00:00:00.000,29.3,29.7,29.29,29.44,0,3499133263188664
Portfolio,1983-04-04 00:00:00.000,100,100,100,100,0,3499133263190164
ExampleOrder-Daily4Sim,1983-04-05 00:00:00.000,29.5,29.8,29.5,29.71,0,3499133263192745
ExampleReversal-Daily4Sim,1983-04-05 00:00:00.000,29.5,29.8,29.5,29.71,0,3499133263194061
AutoGen-Portfolio-Daily4Sim,1983-04-05 00:00:00.000,29.5,29.8,29.5,29.71,0,3499133263195455
ExampleOrder-FullTick,1983-04-05 00:00:00.000,29.5,29.8,29.5,29.71,0,3499133263197492
Portfolio,1983-04-05 00:00:00.000,100,100,100,100,0,3499133263198705
ExampleOrder-Daily4Sim,1983-04-06 00:00:00.000,29.9,29.92,29.65,29.9,0,3499133263206491
ExampleReversal-Daily4Sim,1983-04-06 00:00:00.000,29.9,29.92,29.65,29.9,0,3499133263207772
AutoGen-Portfolio-Daily4Sim,1983-04-06 00:00:00.000,29.9,29.92,29.65,29.9,0,3499133263209145
ExampleOrder-FullTick,1983-04-06 00:00:00.000,29.9,29.92,29.65,29.9,0,3499133263216723
Portfolio,1983-04-06 00:00:00.000,100,100,100,100,0,3499133263218612
ExampleOrder-Daily4Sim,1983-04-07 00:00:00.000,29.92,30.2,29.86,30.17,0,3499133263220049
ExampleReversal-Daily4Sim,1983-04-07 00:00:00.000,29.92,30.2,29.86,30.17,0,3499133263221271
AutoGen-Portfolio-Daily4Sim,1983-04-07 00:00:00.000,29.92,30.2,29.86,30.17,0,3499133263222495
ExampleOrder-FullTick,1983-04-07 00:00:00.000,29.92,30.2,29.86,30.17,0,3499133263224398
Portfolio,1983-04-07 00:00:00.000,100,100,100,100,0,3499133263225640
ExampleOrder-Daily4Sim,1983-04-08 00:00:00.000,30.65,30.65,30.25,30.38,0,3499133263232070
ExampleReversal-Daily4Sim,1983-04-08 00:00:00.000,30.65,30.65,30.25,30.38,0,3499133263233783
