Fitness,ExampleReversalStrategy.ExitStrategy.StopLoss,ExampleReversalStrategy.ExitStrategy.TargetProfit
9.59950740530642,0.41,64.01
9.59950740530642,0.61,0.01
-2.31841777771444,0.01,56.01
9.83719832598924,0.91,96.01
9.83719832598924,0.81,32.01
9.59950740530642,0.51,88.01
-2.31841777771444,0.01,40.01
7.3483998670587,0.21,72.01
7.3483998670587,0.21,80.01
9.59950740530642,0.41,12.01
9.83719832598924,0.81,16.01
-2.31841777771444,0.01,44.01
8.98211126131921,0.31,36.01
7.3483998670587,0.21,4.01
11.0681599881379,0.11,48.01
9.83719832598924,0.71,68.01
11.0681599881379,0.11,84.01
8.98211126131921,0.31,52.01
11.0681599881379,0.11,8.01
9.59950740530642,0.61,76.01
9.59950740530642,0.51,24.01
9.83719832598924,0.91,20.01
8.98211126131921,0.31,92.01
9.83719832598924,0.71,28.01
9.59950740530642,0.41,60.01
9.83719832598924,0.71,12.01
9.59950740530642,0.41,68.01
9.59950740530642,0.51,52.01
8.98211126131921,0.31,88.01
8.98211126131921,0.31,32.01
9.83719832598924,0.81,36.01
9.83719832598924,0.81,92.01
8.98211126131921,0.31,16.01
9.83719832598924,0.81,8.01
11.0681599881379,0.11,16.01
8.98211126131921,0.31,60.01
9.59950740530642,0.41,52.01
11.0681599881379,0.11,92.01
8.98211126131921,0.31,8.01
9.59950740530642,0.61,24.01
9.59950740530642,0.51,76.01
9.83719832598924,0.71,20.01
9.83719832598924,0.91,28.01
11.0681599881379,0.11,88.01
9.83719832598924,0.81,76.01
9.59950740530642,0.51,8.01
9.83719832598924,0.71,52.01
9.59950740530642,0.51,20.01
9.59950740530642,0.41,28.01
9.83719832598924,0.81,24.01
9.59950740530642,0.61,8.01
9.83719832598924,0.81,28.01
9.83719832598924,0.71,36.01
9.59950740530642,0.41,28.01
9.59950740530642,0.41,36.01
9.83719832598924,0.81,68.01
11.0681599881379,0.11,28.01
9.83719832598924,0.71,92.01
9.59950740530642,0.61,16.01
11.0681599881379,0.11,76.01
9.83719832598924,0.71,76.01
9.83719832598924,0.81,88.01
9.83719832598924,0.91,92.01
9.83719832598924,0.81,20.01
9.83719832598924,0.71,24.01
9.83719832598924,0.81,52.01
9.83719832598924,0.91,88.01
11.0681599881379,0.11,20.01
9.83719832598924,0.81,52.01
